Boro-Block-Lot;CondoSection;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;GrossSqFt;EstimatedGrossIncome;GrossIncomePerSqFt;EstimatedExpense;ExpensePerSqFt;NetOperatingIncome;FullMarketValue;MarketValuePerSqFt
1-01871-7501;1753-R1;245 WEST 99 STREET;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;68;2006;152422;6107550;40.07;1964720;12.89;4142830;31309001;205.41
1-01871-7502;1786-R1;2628 BROADWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;64;2005;132905;5325503;40.07;1713145;12.89;3612358;27300000;205.41
1-01874-7501;0362-R1;2681 BROADWAY;UPPER WEST SIDE (96-116);R9-CONDOMINIUM;345;1927;221974;5682534;25.6;1711420;7.71;3971114;28782000;129.66
1-01876-7501;0464-R1;209 WEST 104 STREET;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;46;1930;33324;1055038;31.66;413551;12.41;641487;4785005;143.59
1-01878-7501;1406-R1;2770 BROADWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;64;2004;133872;4167435;31.13;1137912;8.5;3029523;22624000;169
1-01881-7501;0188-R1;504 CATHEDRAL PARKWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;148;1920;107102;2711823;25.32;645825;6.03;2065998;14994009;140
1-01881-7502;0291-R1;520 CATHEDRAL PARKWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;36;1911;59769;1848000;30.92;571390;9.56;1276610;9538001;159.58
1-01881-7503;1410-R1;514 CATHEDRAL PARKWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;49;1900;55578;1718472;30.92;531326;9.56;1187146;8869003;159.58
1-01882-7501;0312-R1;527 CATHEDRAL PARKWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;56;1920;70493;2180000;30.93;675000;9.58;1505000;11244005;159.51
1-01882-7502;1588-R1;545 CATHEDRAL PARKWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;55;2005;79805;2622392;32.86;923344;11.57;1699048;12633998;158.31
1-01883-7501;0532-R1;2860 BROADWAY;UPPER WEST SIDE (96-116);R9-CONDOMINIUM;135;1930;147648;3778312;25.59;1529633;10.36;2248679;16379000;110.93
1-01883-7502;0718-R1;516 WEST 112 STREET;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;71;1990;46573;1418148;30.45;556547;11.95;861601;6443002;138.34
1-01887-7501;1703-R1;306 WEST 97 STREET;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;61;1920;90386;1500000;16.6;680000;7.52;820000;5389975;59.63
1-01888-7501;0315-R1;318 WEST 100 STREET;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;33;1910;39500;815000;20.63;316000;8;499000;3666998;92.84
1-01888-7502;1981-R1;314 WEST 100 STREET;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;33;1940;45120;1346832;29.85;558134;12.37;788698;5910000;130.98
1-01888-7503;1773-R1;817 WEST END AVENUE;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;76;1920;116255;1825204;15.7;685905;5.9;1139299;7794000;67.04
1-01889-7501;0872-R1;825 WEST END AVENUE;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;106;1928;195971;4528890;23.11;1567768;8;2961122;21616001;110.3
1-01891-7502;2054-R1;905 WEST END AVENUE;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;53;1920;132377;2440000;18.43;1125000;8.5;1315000;9461004;71.47
1-01893-7501;0831-R1;301 WEST 108 STREET;UPPER WEST SIDE (96-116);R9-CONDOMINIUM;137;1920;165106;4527207;27.42;1662617;10.07;2864590;20774000;125.82
1-01893-7502;1917-R1;610 CATHEDRAL PARKWAY;UPPER WEST SIDE (96-116);R4-CONDOMINIUM;67;1922;103749;1956706;18.86;660881;6.37;1295825;9310000;89.74
1-01894-7501;0497-R1;2849 BROADWAY;UPPER WEST SIDE (96-116);R9-CONDOMINIUM;151;1926;192853;4776969;24.77;1847532;9.58;2929437;21288000;110.38
1-01896-7501;0202-R1;2931 BROADWAY;UPPER WEST SIDE (96-116);R9-CONDOMINIUM;46;1911;63300;1669221;26.37;660219;10.43;1009002;7300000;115.32
1-01901-7501;1478-R1;106 WEST 117 STREET;HARLEM-CENTRAL;R9-CONDOMINIUM;28;2004;52916;1254638;23.71;563555;10.65;691083;5038000;95.21
1-01901-7501;1478-R2;101 WEST 117 STREET;HARLEM-CENTRAL;R9-CONDOMINIUM;23;2004;37719;894317;23.71;401707;10.65;492610;3591000;95.2
1-01903-7501;1495-R1;100 WEST 119 STREET;HARLEM-CENTRAL;R4-CONDOMINIUM;25;1910;44329;844467;19.05;391868;8.84;452599;3248002;73.27
1-01908-7502;1699-R1;138 WEST 124 STREET;HARLEM-CENTRAL;R4-CONDOMINIUM;21;1906;46991;1114157;23.71;500454;10.65;613703;4474000;95.21
1-01908-7504;2149-R1;117 WEST 123 STREET;HARLEM-CENTRAL;R4-CONDOMINIUM;26;2008;28300;849000;30;250000;8.83;599000;4484000;158.45
1-01914-7502;1690-R1;381 LENOX AVENUE;HARLEM-CENTRAL;R4-CONDOMINIUM;19;2007;29315;695059;23.71;312205;10.65;382854;2790997;95.21
1-01914-7503;2069-R1;2185 ADAM C POWELL BOULEV;HARLEM-CENTRAL;RR-CONDOMINIUM;48;2007;54628;1531769;28.04;673563;12.33;858206;6178000;113.09
1-01917-7501;1926-R1;2257 ADAM C POWELL BOULEV;HARLEM-CENTRAL;R4-CONDOMINIUM;11;2007;8195;229788;28.04;101044;12.33;128744;926999;113.12
1-01918-7501;2088-R1;161 WEST 133 STREET;HARLEM-CENTRAL;R2-CONDOMINIUM;12;1910;11436;318721;27.87;130942;11.45;187779;1345001;117.61
1-01922-7501;1733-R1;227 WEST 116 STREET;HARLEM-CENTRAL;R4-CONDOMINIUM;16;1910;15210;360629;23.71;161987;10.65;198642;1253995;82.45
