Boro-Block-Lot;CondoSection;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;GrossSqFt;EstimatedGrossIncome;GrossIncomePerSqFt;EstimatedExpense;ExpensePerSqFt;NetOperatingIncome;FullMarketValue;MarketValuePerSqFt
1-00007-7501;0735-R1;1 COENTIES SLIP;FINANCIAL;R9-CONDOMINIUM;42;1920;36500;1332615;36.51;342005;9.37;990610;7300000;200
1-00008-7501;1822-R1;39 WHITEHALL STREET;FINANCIAL;R4-CONDOMINIUM;78;1985;126420;6633257;52.47;1762295;13.94;4870962;30690000;242.76
1-00015-7502;1557-R1;20 WEST STREET;FINANCIAL;R4-CONDOMINIUM;282;1930;249076;11776313;47.28;2784670;11.18;8991643;67556006;271.23
1-00016-7501;0308-R1;377 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;239;1985;219495;10004582;45.58;2783197;12.68;7221385;54320996;247.48
1-00016-7502;0313-R1;320 ALBANY STREET;TRIBECA;R4-CONDOMINIUM;133;1986;139719;5127687;36.7;1497788;10.72;3629899;26737996;191.37
1-00016-7503;0385-R1;250 SOUTH END AVENUE;TRIBECA;R4-CONDOMINIUM;109;1985;105000;4365900;41.58;1273650;12.13;3092250;22210281;211.53
1-00016-7504;0360-R1;300 ALBANY STREET;TRIBECA;R4-CONDOMINIUM;107;1986;87479;3637377;41.58;1061120;12.13;2576257;19449002;222.33
1-00016-7505;0371-R1;380 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;247;1987;255845;11246946;43.96;2440761;9.54;8806185;66316999;259.21
1-00016-7506;0398-R1;280 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;121;1985;106129;4115683;38.78;1231096;11.6;2884587;21821999;205.62
1-00016-7507;0450-R1;300 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;154;1986;126008;5239413;41.58;1528477;12.13;3710936;28015990;222.34
1-00016-7508;0498-R1;200 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;546;1987;586224;24375194;41.58;7110897;12.13;17264297;130154990;222.02
1-00016-7509;0621-R1;21 SOUTH END AVENUE;TRIBECA;R4-CONDOMINIUM;182;1988;208281;8077137;38.78;2416060;11.6;5661077;42824998;205.61
1-00016-7510;0779-R1;99 BATTERY PLACE;TRIBECA;R4-CONDOMINIUM;293;1988;341489;13591262;39.8;4309591;12.62;9281671;70161999;205.46
1-00016-7513;1217-R1;25 BATTERY PLACE;TRIBECA;R4-CONDOMINIUM;117;2003;267723;12202814;45.58;3394728;12.68;8808086;62110366;231.99
1-00016-7514;1623-R1;30 WEST STREET;TRIBECA;R4-CONDOMINIUM;234;2006;431824;18041607;41.78;5298480;12.27;12743127;89682996;207.68
1-00016-7515;1848-R1;225 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;304;1985;257848;11752712;45.58;3269513;12.68;8483199;63811996;247.48
1-00016-7516;1858-R1;1 RIVER TERRACE;TRIBECA;R4-CONDOMINIUM;256;2006;434398;19799861;45.58;5508167;12.68;14291694;100582005;231.54
1-00016-7518;2198-R1;333 RECTOR PLACE;TRIBECA;R4-CONDOMINIUM;174;1985;237725;10051013;42.28;2498490;10.51;7552523;57048005;239.97
1-00017-7502;1192-R1;33 RECTOR STREET;FINANCIAL;R4-CONDOMINIUM;13;1920;37236;1545666;41.51;439012;11.79;1106654;8355001;224.38
1-00018-7501;1741-R1;13 RECTOR STREET;FINANCIAL;R4-CONDOMINIUM;452;1956;316810;14551083;45.93;3760535;11.87;10790548;81144002;256.13
1-00024-7501;1912-R1;40 BROAD STREET;FINANCIAL;R4-CONDOMINIUM;162;1982;231300;9779364;42.28;2430963;10.51;7348401;43229973;186.9
1-00025-7501;1957-R1;15 WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;320;2005;477747;19864720;41.58;5795071;12.13;14069649;106168339;222.23
1-00026-7501;1480-R1;15 BROAD STREET;FINANCIAL;R4-CONDOMINIUM;382;1914;648926;27436591;42.28;6820212;10.51;20616379;155560004;239.72
1-00027-7501;1424-R1;55 WALL STREET;FINANCIAL;R4-CONDOMINIUM;107;1836;159544;7798511;48.88;1973559;12.37;5824952;43678004;273.77
1-00027-7502;1991-R1;20 EXCHANGE PLACE;FINANCIAL;RR-CONDOMINIUM;350;1929;346789;13511000;38.96;3172000;9.15;10339000;78272000;225.7
1-00028-7501;1590-R1;82 BEAVER STREET;FINANCIAL;R4-CONDOMINIUM;126;1987;96902;3271412;33.76;995184;10.27;2276228;16895998;174.36
1-00029-7501;1002-R1;48 BEAVER STREET;FINANCIAL;R9-CONDOMINIUM;40;1920;65396;1493000;22.83;594600;9.09;898400;6573000;100.51
1-00029-7503;1541-R1;21 SOUTH WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;31;1900;20308;854154;42.06;291217;14.34;562937;3751007;184.71
1-00031-7501;1836-R1;75 WALL STREET;FINANCIAL;R4-CONDOMINIUM;347;1987;422833;19420720;45.93;5019028;11.87;14401692;83690005;197.93
1-00039-7501;0122-R1;164 PEARL STREET;FINANCIAL;R4-CONDOMINIUM;121;1956;109468;4199192;38.36;1321279;12.07;2877913;21777997;198.94
1-00041-7501;1054-R1;50 PINE STREET;FINANCIAL;R4-CONDOMINIUM;20;1902;39607;1644087;41.51;466967;11.79;1177120;8886999;224.38
1-00041-7503;1186-R1;56 PINE STREET;FINANCIAL;R4-CONDOMINIUM;90;1893;73507;2563189;34.87;784320;10.67;1778869;13165001;179.1
1-00044-7501;1853-R1;18 PINE STREET;FINANCIAL;R4-CONDOMINIUM;408;1928;548976;23210705;42.28;5769738;10.51;17440967;118799990;216.4
1-00052-7501;0947-R1;112 LIBERTY STREET;FINANCIAL;RR-CONDOMINIUM;13;1900;21069;461000;21.88;188000;8.92;273000;1875000;88.99
1-00052-7502;1034-R1;114 LIBERTY STREET;FINANCIAL;R4-CONDOMINIUM;12;1913;65992;2374392;35.98;729872;11.06;1644520;6787002;102.85
1-00053-7501;1572-R1;120 GREENWICH STREET;FINANCIAL;R4-CONDOMINIUM;102;1903;71985;2988097;41.51;848703;11.79;2139394;16151989;224.38
1-00053-7502;2071-R1;123 WASHINGTON STREET;FINANCIAL;R4-CONDOMINIUM;160;2007;215467;7752503;35.98;2383065;11.06;5369438;39629986;183.93
1-00065-7501;0021-R1;65 NASSAU STREET;FINANCIAL;R9-CONDOMINIUM;29;1920;28550;848506;29.72;254952;8.93;593554;4449000;155.83
1-00068-7501;1648-R1;80 JOHN STREET;FINANCIAL;R4-CONDOMINIUM;145;1927;186512;7885727;42.28;1960241;10.51;5925486;44711007;239.72
1-00068-7502;1885-R1;90 WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;113;1967;112213;4744366;42.28;1179359;10.51;3565007;26900017;239.72
1-00069-7502;1062-R1;90 JOHN STREET;FINANCIAL;RR-CONDOMINIUM;221;1931;214364;7055000;32.91;2020000;9.42;5035000;37493000;174.9
1-00072-7501;0065-R1;170 JOHN STREET;FINANCIAL;R4-CONDOMINIUM;14;1982;24362;835129;34.28;188806;7.75;646323;4789000;196.58
1-00076-7501;1800-R1;15 CLIFF STREET;FINANCIAL;RR-CONDOMINIUM;156;2000;142626;4812280;33.74;1059660;7.43;3752620;24970000;175.07
1-00076-7502;1935-R1;99 JOHN STREET;FINANCIAL;R4-CONDOMINIUM;441;2003;348157;14476368;41.58;4223144;12.13;10253224;77405999;222.33
1-00078-7503;1023-R1;80 NASSAU STREET;FINANCIAL;R9-CONDOMINIUM;11;1900;31738;1126699;35.5;292942;9.23;833757;6163000;194.18
1-00078-7504;1060-R1;9 DUTCH STREET;FINANCIAL;RR-CONDOMINIUM;19;1930;28775;850301;29.55;314356;10.92;535945;3751000;130.36
1-00078-7505;1310-R1;39 JOHN STREET;FINANCIAL;R9-CONDOMINIUM;14;1930;17122;763299;44.58;242276;14.15;521023;3922000;229.06
1-00078-7506;1329-R1;102 FULTON STREET;FINANCIAL;R4-CONDOMINIUM;14;1910;22613;905425;40.04;264346;11.69;641079;4845000;214.26
1-00078-7507;1627-R1;111 WILLIAM STREET;FINANCIAL;R4-CONDOMINIUM;73;1909;89994;3333378;37.04;691154;7.68;2642224;19447000;216.09
1-00079-7502;1543-R1;130 FULTON STREET;FINANCIAL;R4-CONDOMINIUM;21;1900;66930;2408141;35.98;740246;11.06;1667895;12305999;183.86
1-00079-7503;1551-R1;71 NASSAU STREET;FINANCIAL;R4-CONDOMINIUM;67;1906;66575;2395369;35.98;736320;11.06;1659049;12240999;183.87
1-00090-7501;1121-R1;15 PARK ROW;SOUTHBRIDGE;R4-CONDOMINIUM;210;1896;196837;6407044;32.55;1979777;10.06;4427267;30017000;152.5
1-00090-7502;1137-R1;105 NASSAU STREET;SOUTHBRIDGE;R4-CONDOMINIUM;9;1923;20883;664288;31.81;244331;11.7;419957;3140000;150.36
1-00091-7502;1969-R1;111 FULTON STREET;SOUTHBRIDGE;R4-CONDOMINIUM;163;1940;191740;6685974;34.87;2300880;12;4385094;32452994;169.26
1-00095-7501;0118-R1;117 BEEKMAN STREET;SOUTHBRIDGE;R4-CONDOMINIUM;22;1983;37170;1254859;33.76;444182;11.95;810677;6017001;161.88
1-00097-7502;1218-R1;130 BEEKMAN STREET;SOUTHBRIDGE;R4-CONDOMINIUM;18;1900;23044;733030;31.81;269608;11.7;463422;3455999;149.97
1-00097-7503;1412-R1;220 FRONT STREET;SOUTHBRIDGE;R4-CONDOMINIUM;15;1910;25825;871852;33.76;265223;10.27;606629;4503000;174.37
1-00097-7504;1413-R1;214 FRONT STREET;SOUTHBRIDGE;R4-CONDOMINIUM;15;1999;20091;678272;33.76;206335;10.27;471937;3503000;174.36
1-00100-7501;1286-R1;150 NASSAU STREET;SOUTHBRIDGE;R4-CONDOMINIUM;125;1900;168889;5725337;33.9;2026668;12;3698669;27446000;162.51
1-00106-7502;1164-R1;324 PEARL STREET;SOUTHBRIDGE;R4-CONDOMINIUM;49;1900;37646;1137662;30.22;418624;11.12;719038;5292822;140.59
1-00132-7501;0401-R1;295 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;128;1987;115909;4958587;42.78;1407135;12.14;3551452;26786996;231.1
1-00132-7501;0401-R2;275 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;133;1987;138016;5904324;42.78;1675514;12.14;4228810;31896000;231.1
1-00132-7503;1042-R1;71 MURRAY STREET;TRIBECA;R4-CONDOMINIUM;11;2001;54500;2220330;40.74;712315;13.07;1508015;11391999;209.03
1-00133-7504;1084-R1;37 MURRAY STREET;CIVIC CENTER;R4-CONDOMINIUM;8;1969;17000;486540;28.62;137020;8.06;349520;2012991;118.41
1-00133-7506;1411-R1;49 WARREN STREET;CIVIC CENTER;R4-CONDOMINIUM;10;1900;22964;826245;35.98;253982;11.06;572263;3971997;172.97
1-00134-7503;1148-R1;9 MURRAY STREET;CIVIC CENTER;R4-CONDOMINIUM;27;1900;59853;2246283;37.53;622471;10.4;1623812;7359002;122.95
1-00134-7505;1796-R1;25 MURRAY STREET;CIVIC CENTER;R4-CONDOMINIUM;75;1930;118046;5339221;45.23;1300867;11.02;4038354;28800004;243.97
1-00135-7501;0025-R1;261 BROADWAY;CIVIC CENTER;R9-CONDOMINIUM;65;1915;112500;4167000;37.04;864000;7.68;3303000;18150000;161.33
1-00135-7503;1162-R1;8 WARREN STREET;CIVIC CENTER;R4-CONDOMINIUM;14;1860;32039;1169744;36.51;300205;9.37;869539;6408000;200.01
1-00135-7504;1131-R1;270 BROADWAY;CIVIC CENTER;R4-CONDOMINIUM;87;1910;217318;9188205;42.28;2284012;10.51;6904193;52094996;239.72
1-00136-7502;1007-R1;38 WARREN STREET;CIVIC CENTER;R4-CONDOMINIUM;26;1900;50165;1831524;36.51;470046;9.37;1361478;7964002;158.76
1-00136-7505;2132-R1;85 WEST BROADWAY;CIVIC CENTER;R4-CONDOMINIUM;15;2007;15060;736133;48.88;186292;12.37;549841;3109996;206.51
1-00137-7503;1593-R1;92 WARREN STREET;TRIBECA;R4-CONDOMINIUM;12;1920;30062;1081631;35.98;332486;11.06;749145;4928001;163.93
1-00140-7501;0499-R1;165 CHAMBERS STREET;TRIBECA;R4-CONDOMINIUM;83;1987;89377;3973701;44.46;1099337;12.3;2874364;21638002;242.1
1-00140-7502;0594-R1;311 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;80;1988;66551;2767191;41.58;807264;12.13;1959927;14796000;222.33
1-00140-7503;0889-R1;137 READE STREET;TRIBECA;R4-CONDOMINIUM;10;1930;28000;1059520;37.84;313320;11.19;746200;4301000;153.61
1-00140-7505;1847-R1;157 CHAMBERS STREET;TRIBECA;R4-CONDOMINIUM;38;1931;87334;3675015;42.08;986001;11.29;2689014;16060010;183.89
1-00141-7502;0617-R1;184 DUANE STREET;TRIBECA;R4-CONDOMINIUM;1;1915;2660;113954;42.84;30617;11.51;83337;422400;158.8
1-00141-7504;0996-R1;166 DUANE STREET;TRIBECA;R4-CONDOMINIUM;30;1910;92487;3327682;35.98;1022906;11.06;2304776;17006001;183.87
1-00142-7501;1507-R1;99 WARREN STREET;TRIBECA;RR-CONDOMINIUM;163;2006;182235;6570000;36.05;1027000;5.64;5543000;38389000;210.66
1-00142-7501;1507-R2;99 WARREN STREET;TRIBECA;R4-CONDOMINIUM;220;2006;535060;24200764;45.23;5896361;11.02;18304403;136481149;255.08
1-00142-7502;1629-R1;200 CHAMBERS STREET;TRIBECA;R4-CONDOMINIUM;311;2005;314373;14329121;45.58;3986250;12.68;10342871;77801025;247.48
1-00143-7501;0328-R1;8 JAY STREET;TRIBECA;R9-CONDOMINIUM;13;1915;19882;635628;31.97;201802;10.15;433826;2365000;118.95
1-00143-7502;1026-R1;177 DUANE STREET;TRIBECA;R9-CONDOMINIUM;11;1920;15500;526690;33.98;164455;10.61;362235;6162000;397.55
1-00144-7502;1597-R1;36 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;12;1910;27928;1004849;35.98;308884;11.06;695965;4576001;163.85
1-00145-7501;0071-R1;105 CHAMBERS STREET;CIVIC CENTER;R4-CONDOMINIUM;2;1915;12688;480114;37.84;141979;11.19;338135;2334000;183.95
1-00145-7504;0668-R1;97 READE STREET;CIVIC CENTER;R4-CONDOMINIUM;20;1920;24992;997181;39.9;317148;12.69;680033;5140002;205.67
1-00146-7501;0715-R1;96 READE STREET;CIVIC CENTER;R4-CONDOMINIUM;21;1895;32300;1162154;35.98;357238;11.06;804916;5938999;183.87
1-00146-7502;0804-R1;150 DUANE STREET;CIVIC CENTER;R9-CONDOMINIUM;13;1915;20500;793555;38.71;256455;12.51;537100;3495000;170.49
1-00146-7503;1004-R1;104 READE STREET;CIVIC CENTER;R4-CONDOMINIUM;9;1920;20325;769098;37.84;227437;11.19;541661;3718000;182.93
1-00147-7508;1702-R1;52 THOMAS STREET;CIVIC CENTER;R4-CONDOMINIUM;20;1915;35900;1329736;37.04;275712;7.68;1054024;7757997;216.1
1-00147-7509;1816-R1;137 DUANE STREET;CIVIC CENTER;R4-CONDOMINIUM;19;1915;45510;1546430;33.98;482861;10.61;1063569;7890999;173.39
1-00150-7501;0954-R1;70 READE STREET;CIVIC CENTER;R4-CONDOMINIUM;8;1915;26658;762952;28.62;214863;8.06;548089;3701001;138.83
1-00171-7501;0032-R1;356 BROADWAY;CHINATOWN;R4-CONDOMINIUM;18;1915;20000;577200;28.86;163000;8.15;414200;3110001;155.5
1-00171-7502;1074-R1;354 BROADWAY;CHINATOWN;R4-CONDOMINIUM;12;1900;41204;1317292;31.97;418221;10.15;899071;6701998;162.65
1-00172-7501;0730-R1;374 BROADWAY;CHINATOWN;R4-CONDOMINIUM;163;1990;126500;3787410;29.94;1406680;11.12;2380730;17836002;141
1-00172-7502;1433-R1;81 WHITE STREET;CHINATOWN;R4-CONDOMINIUM;11;1915;28500;822510;28.86;232275;8.15;590235;4431999;155.51
1-00172-7504;2079-R1;50 FRANKLIN STREET;CHINATOWN;R4-CONDOMINIUM;72;2007;91412;4114454;45.01;1357468;14.85;2756986;20745996;226.95
1-00173-7501;1157-R1;66 LEONARD STREET;CIVIC CENTER;R4-CONDOMINIUM;47;1900;132423;4432198;33.47;1064681;8.04;3367517;24419996;184.41
1-00173-7502;1434-R1;65 WORTH STREET;CIVIC CENTER;R4-CONDOMINIUM;30;1920;89678;2420409;26.99;486055;5.42;1934354;13964998;155.72
1-00173-7503;2052-R1;79 WORTH STREET;CIVIC CENTER;R4-CONDOMINIUM;29;1920;56292;1799655;31.97;571364;10.15;1228291;9156999;162.67
1-00175-7503;0711-R1;55 WHITE STREET;CIVIC CENTER;R4-CONDOMINIUM;17;1860;32939;872554;26.49;329390;10;543164;3928999;119.28
1-00175-7504;1108-R1;90 FRANKLIN STREET;CIVIC CENTER;R4-CONDOMINIUM;24;1915;98891;3458218;34.97;864555;8.74;2593663;19190999;194.06
1-00178-7502;0932-R1;211 WEST BROADWAY;CIVIC CENTER;R2-CONDOMINIUM;11;1915;24985;619628;24.8;249850;10;369778;2686999;107.54
1-00179-7503;1013-R1;155 FRANKLIN STREET;TRIBECA;R4-CONDOMINIUM;10;1982;33633;1048677;31.18;385098;11.45;663579;4960000;147.47
1-00179-7506;1196-R1;14 LEONARD STREET;TRIBECA;R4-CONDOMINIUM;31;1915;88615;2347411;26.49;877289;9.9;1470122;10634000;120
1-00180-7502;0198-R1;67 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;20;1915;20750;679978;32.77;238833;11.51;441145;3280999;158.12
1-00180-7507;0923-R1;345 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;10;1921;23287;582175;25;239856;10.3;342319;2492001;107.01
1-00181-7501;0080-R1;355 GREENWICH STREET;TRIBECA;R2-CONDOMINIUM;10;1983;10962;328093;29.93;122446;11.17;205647;1543998;140.85
1-00181-7502;0152-R1;363 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;9;1915;17788;472983;26.59;181793;10.22;291190;2100997;118.11
1-00188-7501;0491-R1;65 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;8;1915;12690;350879;27.65;119159;9.39;231720;1504899;118.59
1-00188-7502;1063-R1;387 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;36;1915;86451;2893515;33.47;1029631;11.91;1863884;13843002;160.13
1-00188-7503;1155-R1;53 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;46;1910;83020;2868341;34.55;988768;11.91;1879573;13919998;167.67
1-00188-7505;1986-R1;48 BEACH STREET;TRIBECA;R4-CONDOMINIUM;25;1930;94532;2793421;29.55;1089954;11.53;1703467;12100005;128
1-00189-7501;0229-R1;220 WEST BROADWAY;TRIBECA;R9-CONDOMINIUM;24;1915;52735;1396950;26.49;522077;9.9;874873;6328000;120
1-00189-7502;0430-R1;104 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;14;1921;40581;1248272;30.76;392012;9.66;856260;6399998;157.71
1-00189-7507;1052-R1;132 FRANKLIN STREET;TRIBECA;R4-CONDOMINIUM;13;1915;53468;1644676;30.76;516501;9.66;1128175;8432001;157.7
1-00189-7508;1061-R1;38 NORTH MOORE STREET;TRIBECA;R9-CONDOMINIUM;11;1915;18315;541208;29.55;167949;9.17;373259;2798000;152.77
1-00190-7501;0836-R1;39 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;10;1909;24407;780292;31.97;247731;10.15;532561;3981999;163.15
1-00190-7503;0956-R1;31 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;23;1915;86900;2778193;31.97;882035;10.15;1896158;14136000;162.67
1-00190-7504;1045-R1;27 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;57;1905;150010;4795820;31.97;1522602;10.15;3273218;24401999;162.67
1-00190-7505;1181-R1;25 NORTH MOORE STREET;TRIBECA;R4-CONDOMINIUM;33;1924;119996;4323456;36.03;1429152;11.91;2894304;21352002;177.94
1-00190-7506;2009-R1;124 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;26;2000;68033;2526065;37.13;829322;12.19;1696743;12485002;183.51
1-00193-7501;0120-R1;395 BROADWAY;TRIBECA;R4-CONDOMINIUM;64;1915;119640;3824891;31.97;1214346;10.15;2610545;19461006;162.66
1-00193-7505;0689-R1;37 WALKER STREET;TRIBECA;R2-CONDOMINIUM;2;1875;4169;113105;27.13;44650;10.71;68455;494000;118.49
1-00193-7509;1624-R1;51 WALKER STREET;TRIBECA;R4-CONDOMINIUM;15;2005;34587;1447120;41.84;434136;12.55;1012984;7646000;221.07
1-00202-7501;0222-R1;50 BAYARD STREET;CHINATOWN;R4-CONDOMINIUM;167;1985;163160;4501584;27.59;1417860;8.69;3083724;22226999;136.23
1-00204-7501;1509-R1;158 HESTER STREET;CHINATOWN;R4-CONDOMINIUM;61;2004;60962;2131841;34.97;609620;10;1522221;11262997;184.75
1-00206-7501;1791-R1;123 BAXTER STREET;CHINATOWN;R4-CONDOMINIUM;23;2003;46545;1627679;34.97;276012;5.93;1351667;10001002;214.87
1-00208-7501;1385-R1;129 LAFAYETTE STREET;CHINATOWN;R4-CONDOMINIUM;27;1900;70649;2955954;41.84;1283692;18.17;1672262;11110005;157.26
1-00211-7501;0969-R1;7 LISPENARD STREET;TRIBECA;R4-CONDOMINIUM;9;1915;16028;397494;24.8;168294;10.5;229200;1669000;104.13
1-00212-7501;0044-R1;260 WEST BROADWAY;TRIBECA;R4-CONDOMINIUM;50;1915;122640;3920801;31.97;1410360;11.5;2510441;18715001;152.6
1-00212-7503;1844-R1;1 YORK STREET;TRIBECA;R4-CONDOMINIUM;34;1890;67451;2156408;31.97;684628;10.15;1471780;10971998;162.67
1-00214-7502;1302-R1;145 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;10;1929;46250;1811613;39.17;462500;10;1349113;9988004;215.96
1-00214-7503;1388-R1;7 HUBERT STREET;TRIBECA;R4-CONDOMINIUM;35;2004;138798;4835722;34.84;1654472;11.92;3181250;23452969;168.97
1-00215-7502;1393-R1;161 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;24;1930;66444;2043817;30.76;730884;11;1312933;9813002;147.69
1-00215-7504;1849-R1;415 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;66;1913;155221;5592613;36.03;1848682;11.91;3743931;27619994;177.94
1-00215-7505;2118-R1;157 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;15;1920;58213;2011259;34.55;533231;9.16;1478028;10946001;188.03
1-00217-7501;1243-R1;79 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;33;1853;100894;2981418;29.55;925198;9.17;2056220;15416001;152.79
1-00217-7502;1862-R1;408 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;4;2007;17185;677776;39.44;179411;10.44;498365;3773000;219.55
1-00218-7501;1457-R1;92 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;65;2004;163128;6156451;37.74;1869447;11.46;4287004;32454998;198.95
1-00219-7501;0944-R1;429 GREENWICH STREET;TRIBECA;R4-CONDOMINIUM;28;1920;88897;2734472;30.76;1024982;11.53;1709490;12775996;143.72
1-00219-7502;1003-R1;39 VESTRY STREET;TRIBECA;R4-CONDOMINIUM;16;1930;37785;1116547;29.55;415635;11;700912;4905998;129.84
1-00219-7503;1132-R1;35 VESTRY STREET;TRIBECA;R4-CONDOMINIUM;6;1915;16400;461004;28.11;163672;9.98;297332;2147000;130.91
1-00219-7504;1191-R1;169 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;12;1915;51647;1526169;29.55;473603;9.17;1052566;7891000;152.79
1-00220-7502;2002-R1;28 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;31;1920;94924;3034720;31.97;963479;10.15;2071241;15440998;162.67
1-00220-7503;1392-R1;38 LAIGHT STREET;TRIBECA;R4-CONDOMINIUM;33;1900;73257;1941311;26.5;585323;7.99;1355988;8843984;120.73
1-00222-7501;0136-R1;28 VESTRY STREET;TRIBECA;R4-CONDOMINIUM;20;1962;36435;1120741;30.76;351962;9.66;768779;5745997;157.71
1-00222-7502;1064-R1;195 HUDSON STREET;TRIBECA;R4-CONDOMINIUM;27;1920;88496;2829217;31.97;898234;10.15;1930983;14395002;162.66
1-00225-7501;1321-R1;465 GREENWICH STREET;TRIBECA;R9-CONDOMINIUM;38;1910;73919;2077863;28.11;737712;9.98;1340151;9646000;130.49
1-00225-7502;2058-R1;16 DESBROSSES STREET;TRIBECA;R4-CONDOMINIUM;8;1940;24059;665231;27.65;259837;10.8;405394;2926000;121.62
1-00228-7501;1432-R1;3 WOOSTER STREET;SOHO;R4-CONDOMINIUM;11;2003;25300;930028;36.76;310937;12.29;619091;4560000;180.24
1-00228-7502;2024-R1;311 WEST BROADWAY;SOHO;R4-CONDOMINIUM;67;2007;146294;5973184;40.83;2048116;14;3925068;29647996;202.66
1-00230-7503;1111-R1;20 GREENE STREET;SOHO;R4-CONDOMINIUM;10;1915;30331;993947;32.77;349110;11.51;644837;4802001;158.32
1-00230-7506;2124-R1;25 MERCER STREET;SOHO;R4-CONDOMINIUM;10;1920;17632;497222;28.2;169267;9.6;327955;2366000;134.19
1-00231-7501;1354-R1;443 BROADWAY;SOHO;R4-CONDOMINIUM;16;1910;44653;1259215;28.2;428669;9.6;830546;5698005;127.61
1-00234-7501;1235-R1;161 GRAND STREET;CHINATOWN;R4-CONDOMINIUM;18;1911;45148;1413584;31.31;520556;11.53;893028;6665999;147.65
1-00235-7501;1936-R1;136 BAXTER STREET;CHINATOWN;R4-CONDOMINIUM;12;1915;28370;888265;31.31;230081;8.11;658184;4432999;156.26
1-00236-7501;0815-R1;173 GRAND STREET;CHINATOWN;R4-CONDOMINIUM;39;1990;25786;794982;30.83;257860;10;537122;4013995;155.67
1-00236-7502;2195-R1;145 MULBERRY STREET;CHINATOWN;RR-CONDOMINIUM;25;1915;26907;825776;30.69;174088;6.47;651688;4871000;181.03
1-00238-7503;1945-R1;87 ELIZABETH STREET;CHINATOWN;R4-CONDOMINIUM;18;1899;14777;401491;27.17;144371;9.77;257120;1854996;125.53
1-00239-7501;0744-R1;80 ELIZABETH STREET;CHINATOWN;R4-CONDOMINIUM;80;1929;85956;2335425;27.17;936920;10.9;1398505;10091999;117.41
1-00273-7501;1438-R1;142 HENRY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;13;1912;19597;541857;27.65;211648;10.8;330209;2320995;118.44
1-00273-7502;1999-R1;30 RUTGERS STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;2005;7576;249705;32.96;85078;11.23;164627;1225000;161.69
1-00274-7501;0977-R1;48 MARKET STREET;LOWER EAST SIDE;R4-CONDOMINIUM;26;1990;27046;677232;25.04;305349;11.29;371883;2701000;99.87
1-00274-7502;1291-R1;148 MADISON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;80;2002;43850;1786449;40.74;573120;13.07;1213329;9166000;209.03
1-00274-7503;1603-R1;44 MARKET STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;2004;9744;375729;38.56;138365;14.2;237364;1795999;184.32
1-00276-7501;0858-R1;102 MADISON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;12;1991;5700;216543;37.99;71706;12.58;144837;1096000;192.28
1-00276-7502;1854-R1;11 MONROE STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;2004;6656;242145;36.38;81869;12.3;160276;1182000;177.58
1-00277-7501;0723-R1;60 HENRY STREET;CHINATOWN;R4-CONDOMINIUM;74;1989;47161;1582723;33.56;563574;11.95;1019149;7567998;160.47
1-00277-7502;0856-R1;46 HENRY STREET;CHINATOWN;R4-CONDOMINIUM;32;1991;25805;792472;30.71;297790;11.54;494682;3696998;143.27
