Boro-Block-Lot;Address;Neighborhood;BuildingClassification;TotalUnits;YearBuilt;AreaSqFt;GrossIncomePerSqFt;ExpensePerSqFt;NetOperatingIncomePerSqFt;FullMarketValue;MarketValuePerSqFt
1-00298-7502;18 ORCHARD STREET;LOWER EAST SIDE;R4-CONDOMINIUM;4;1920;1883.75;28.83;7.45;-5976.103176;1144001;151.82
1-00298-7503;21 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;23;1910;778.2173913;27.93;10.78;-14604.66579;2009999;112.3
1-00303-7501;87 BOWERY;CHINATOWN;R4-CONDOMINIUM;8;1910;1023.5;27.65;10.29;-11210.2838;1026001;125.31
1-00309-7501;48 ORCHARD STREET;LOWER EAST SIDE;R4-CONDOMINIUM;25;2003;1561.08;33.4;12.59;-7419.123957;6041000;154.79
1-00310-7503;55 HESTER STREET;LOWER EAST SIDE;R4-CONDOMINIUM;27;1940;864.5925926;41.09;12.82;-13520.7804;4984001;213.5
1-00343-7501;78 RIDGE STREET;LOWER EAST SIDE;R4-CONDOMINIUM;53;1930;1063.283019;40.71;9.25;-11095.90479;13391995;237.64
1-00345-7501;154 ATTORNEY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;41;2004;966.902439;38.56;11.65;-12313.76323;7689010;193.96
1-00345-7502;196 STANTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;6;1950;7457;35.5;9.23;-1611.14768;17869000;399.38
1-00349-7501;130 SUFFOLK STREET;LOWER EAST SIDE;R2-CONDOMINIUM;48;1930;1284.854167;38.02;13.37;-9434.883056;11507016;186.58
1-00350-7501;20 CLINTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;38;1930;854.6315789;36.21;15.17;-14310.9261;5039003;155.16
1-00353-7501;103 NORFOLK STREET;LOWER EAST SIDE;R4-CONDOMINIUM;31;2005;1544.290323;33.61;9.2;-7989.877123;8636002;180.39
1-00354-7501;133 NORFOLK STREET;LOWER EAST SIDE;R2-CONDOMINIUM;2;1900;1393.5;37.9;15.66;-8932.049142;427000;153.21
1-00375-7501;71 AVENUE D;ALPHABET CITY;R4-CONDOMINIUM;25;2001;1111.92;28.52;11.12;-11291.21793;3212028;115.55
1-00384-7503;310 EAST HOUSTON STREET;ALPHABET CITY;R4-CONDOMINIUM;23;2005;1510.173913;34.63;11.92;-8385.161128;5840002;168.14
1-00384-7505;229 EAST 2 STREET;ALPHABET CITY;R4-CONDOMINIUM;5;2008;1481;35.65;8.19;-8623.343787;1501999;202.84
1-00385-7501;254 EAST 2 STREET;ALPHABET CITY;R4-CONDOMINIUM;47;2005;776;39.89;8.77;-16597.02668;8579000;235.22
1-00386-7501;211 EAST 3 STREET;ALPHABET CITY;R2-CONDOMINIUM;13;1920;1460.769231;27.28;10.9;-8890.804232;2244001;118.17
1-00389-7501;97 AVENUE B;ALPHABET CITY;R9-CONDOMINIUM;30;1901;698;28.06;12.64;-18761.50977;2324000;110.98
1-00390-7501;217 EAST 7 STREET;ALPHABET CITY;R4-CONDOMINIUM;16;2000;981.5;34.49;13.38;-13452.52611;2455000;156.33
1-00390-7502;338 EAST 8 STREET;ALPHABET CITY;R9-CONDOMINIUM;78;2001;844;38.26;12;-15772.24518;13083000;198.73
1-00392-7501;143 AVENUE B;ALPHABET CITY;R4-CONDOMINIUM;83;1928;951.5903614;27.08;10.8;-14102.59712;9281001;117.51
1-00392-7502;631 EAST 9 STREET;ALPHABET CITY;R4-CONDOMINIUM;12;2005;966.9166667;40.45;12.9;-13990.88102;2415000;208.14
1-00393-7501;642 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;35;1999;1029.885714;32.69;11.92;-13240.4367;5568999;154.5
1-00394-7502;613 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;12;2001;1329.75;31.8;11.2;-10335.97079;2451000;153.6
1-00394-7503;625 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;12;2001;957.9166667;31.8;11.2;-14460.94237;1765999;153.63
1-00396-7501;215 AVENUE B;ALPHABET CITY;R4-CONDOMINIUM;17;2008;1137.235294;40.45;13.3;-12275.8222;3543001;183.26
1-00397-7501;175 EAST 2 STREET;ALPHABET CITY;R4-CONDOMINIUM;21;1920;954.1904762;27;10.71;-14744.0361;2355999;117.58
1-00397-7502;240 EAST HOUSTON STREET;ALPHABET CITY;R4-CONDOMINIUM;16;1920;1240.875;26.91;11.3;-11424.79249;2238999;112.77
1-00397-7502;240 EAST HOUSTON STREET;ALPHABET CITY;R4-CONDOMINIUM;1;1920;1996;32.5;11.91;-7156.743456;306000;153.31
1-00398-7501;182 EAST 2 STREET;ALPHABET CITY;R2-CONDOMINIUM;41;1987;869.8536585;29.96;11.5;-16546.439;4675012;131.08
1-00399-7501;50 AVENUE A;ALPHABET CITY;R9-CONDOMINIUM;17;1920;1253.764706;26.77;10;-11566.04663;2584000;121.23
1-00405-7503;511 EAST 11 STREET;ALPHABET CITY;R2-CONDOMINIUM;12;1999;1198;31.85;10.81;-12194.6758;2256000;156.93
1-00405-7504;525 EAST 11 STREET;ALPHABET CITY;R4-CONDOMINIUM;26;1965;1150.230769;33.09;10.31;-12795.12126;5064002;169.33
1-00406-7501;212 AVENUE B;ALPHABET CITY;R2-CONDOMINIUM;24;1900;625.875;25.28;10.8;-23687.57775;1578999;105.12
1-00407-7501;214 AVENUE A;ALPHABET CITY;R2-CONDOMINIUM;18;1920;612.9444444;24.3;10.7;-24363.68159;907499;82.25
1-00407-7502;503 EAST 13 STREET;ALPHABET CITY;R2-CONDOMINIUM;18;1999;1062.166667;27.64;9;-14161.3405;2568002;134.32
1-00408-7501;71 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;13;1900;2400.384615;35.5;9.23;-6311.415386;6058998;194.17
1-00411-7501;112 RIVINGTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;6;1900;633.3333333;29.72;9.08;-24091.49202;588000;154.74
1-00411-7502;157 LUDLOW STREET;LOWER EAST SIDE;R4-CONDOMINIUM;10;1900;1151.7;35.5;9.23;-13342.07303;2100000;182.34
1-00411-7503;133 ESSEX STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;1900;883.125;35.86;12.2;-17522.07905;2466995;174.59
1-00411-7504;153 ESSEX STREET;LOWER EAST SIDE;R4-CONDOMINIUM;17;1920;1070.647059;37.4;13.98;-14554.10211;3137000;172.35
1-00413-7501;75 ALLEN STREET;LOWER EAST SIDE;R2-CONDOMINIUM;18;1900;444.1111111;38.41;15.62;-35329.95861;1378996;172.5
1-00413-7502;77 ALLEN STREET;LOWER EAST SIDE;R4-CONDOMINIUM;9;1920;621.8888889;38.02;13.37;-25404.13249;951001;169.91
1-00414-7501;101 ALLEN STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;1900;320.625;36.58;11.67;-49611.44105;942000;183.63
1-00416-7502;62 RIVINGTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;12;2003;722;40.53;10.31;-22181.14798;1978002;228.3
1-00418-7501;113 ELDRIDGE STREET;LOWER EAST SIDE;R4-CONDOMINIUM;12;2002;586.8333333;44.04;10.85;-27474.4267;1760000;249.93
1-00419-7501;302 BROOME STREET;LOWER EAST SIDE;R4-CONDOMINIUM;8;1990;980.125;35.65;8.19;-16560.1632;1493998;190.54
1-00420-7501;40 DELANCEY STREET;LOWER EAST SIDE;R4-CONDOMINIUM;55;2005;1061.163636;35.17;10.18;-15397.39015;10796996;184.99
1-00421-7502;36 RIVINGTON STREET;LOWER EAST SIDE;R4-CONDOMINIUM;16;1988;832.4375;37.59;10.36;-19757.96509;2665999;200.17
1-00422-7501;241 ELDRIDGE STREET;LOWER EAST SIDE;R2-CONDOMINIUM;10;1900;1277.7;31.29;15.32;-12957.18214;1426004;111.61
1-00425-7501;195 BOWERY;LOWER EAST SIDE;R4-CONDOMINIUM;16;1900;1673.9375;35.17;10.18;-9954.680017;4917002;183.59
1-00425-7502;199 BOWERY;LOWER EAST SIDE;R4-CONDOMINIUM;63;2000;896.4920635;42.79;11.38;-18708.06605;13380994;236.92
1-00432-7501;85 AVENUE A;EAST VILLAGE;R4-CONDOMINIUM;32;1991;737.65625;37.27;9.27;-22882.95299;4862000;205.97
1-00434-7501;103 AVENUE A;EAST VILLAGE;R4-CONDOMINIUM;20;1920;561.45;35.81;12.79;-30257.14463;1909000;170.01
1-00434-7504;107 AVENUE A;EAST VILLAGE;R4-CONDOMINIUM;10;1920;1046.1;35.41;10.41;-16342.60052;1815001;173.5
1-00437-7502;266 EAST 10 STREET;EAST VILLAGE;R4-CONDOMINIUM;10;2007;616.6;50.51;11.25;-27901.58119;1815000;294.36
1-00438-7502;416 EAST 11 STREET;EAST VILLAGE;R4-CONDOMINIUM;13;2001;1210.923077;36.94;8.17;-14296.72607;3333999;211.79
1-00440-7502;407 EAST 12 STREET;EAST VILLAGE;R4-CONDOMINIUM;27;1900;1124.555556;30.69;6.47;-15490.88081;5497000;181.04
1-00440-7503;431 EAST 12 STREET;EAST VILLAGE;R2-CONDOMINIUM;13;1900;1546.076923;29.62;9.82;-11337.38973;2982998;148.42
1-00441-7501;224 1 AVENUE;EAST VILLAGE;R4-CONDOMINIUM;40;1911;638.2;33.86;6.38;-27634.90628;5206002;203.93
1-00441-7503;421 EAST 13 STREET;EAST VILLAGE;R4-CONDOMINIUM;96;2006;972.7291667;39.98;8.01;-18242.19768;22563999;241.63
1-00443-7502;62 EAST 1 STREET;EAST VILLAGE;R4-CONDOMINIUM;11;2007;1362;37.59;10.36;-13107.81079;2998999;200.17
1-00444-7501;72 EAST 3 STREET;EAST VILLAGE;R4-CONDOMINIUM;20;1900;861.25;35.5;9.23;-20854.52407;3344993;194.19
1-00446-7501;125 EAST 4 STREET;EAST VILLAGE;R9-CONDOMINIUM;28;2004;635.4642857;37.27;9.27;-28434.45308;3665000;205.98
1-00446-7502;99 EAST 4 STREET;EAST VILLAGE;R9-CONDOMINIUM;66;1920;1026.727273;37.67;10.4;-17704.0198;13580000;200.4
1-00447-7501;83 1 AVENUE;EAST VILLAGE;R9-CONDOMINIUM;20;1900;578.7;37.59;10.36;-31597.2361;2317000;200.19
1-00451-7502;240 EAST 10 STREET;EAST VILLAGE;R4-CONDOMINIUM;35;1999;1787.314286;38.22;7.14;-10291.10617;14712999;235.2
1-00453-7501;311 EAST 11 STREET;EAST VILLAGE;R4-CONDOMINIUM;36;2008;1297.416667;41.28;7.99;-14260.30828;11740999;251.38
1-00459-7502;52 EAST 4 STREET;EAST VILLAGE;R4-CONDOMINIUM;14;2007;1769.857143;40.45;13.3;-10514.7934;5082998;205.14
1-00462-7501;24 EAST 7 STREET;EAST VILLAGE;R9-CONDOMINIUM;34;1991;1079.205882;37.97;8.03;-17344.05183;8316000;226.64
1-00463-7501;63 COOPER SQUARE;EAST VILLAGE;R4-CONDOMINIUM;36;1984;681.3333333;44.36;11.94;-27631.0029;5986997;244.09
1-00464-7501;214 EAST 9 STREET;EAST VILLAGE;R4-CONDOMINIUM;14;1900;1046.428571;33.05;8.44;-18093.96684;2680000;182.94
1-00464-7502;15 ST MARK'S PLACE;EAST VILLAGE;R4-CONDOMINIUM;10;1910;1199.5;39.83;11.57;-15875.08497;2401000;200.17
1-00464-7503;133 2 AVENUE;EAST VILLAGE;R4-CONDOMINIUM;12;1920;1137.333333;39.07;10.39;-16837.88246;2563002;187.79
1-00465-7501;38 STUYVESANT STREET;EAST VILLAGE;R2-CONDOMINIUM;12;1900;1189.083333;33.91;9.7;-16196.00999;2563001;179.62
1-00466-7501;47 3 AVENUE;EAST VILLAGE;R9-CONDOMINIUM;28;2006;1095.071429;45.61;7.8;-17685.17156;8720000;284.39
1-00469-7501;105 3 AVENUE;EAST VILLAGE;R4-CONDOMINIUM;16;1920;762;33.66;9.65;-25557.27907;2173000;178.23
1-00469-7502;105 3 AVENUE;EAST VILLAGE;R9-CONDOMINIUM;155;1964;735.0322581;37.07;11.73;-26642.05141;21284000;186.82
1-00470-7501;122 ELIZABETH STREET;LITTLE ITALY;R4-CONDOMINIUM;28;1988;765.7857143;29.59;10.65;-25713.313;3045001;142.01
1-00472-7501;240 CENTRE STREET;LITTLE ITALY;R9-CONDOMINIUM;55;1905;1902.490909;26.68;11.2;-10406.88722;10483000;100.18
1-00473-7501;476 BROADWAY;SOHO;R4-CONDOMINIUM;7;1904;7221;30.83;9.9;-2756.838232;7910000;156.49
1-00473-7502;30 CROSBY STREET;SOHO;R4-CONDOMINIUM;13;1890;6075.538462;26.68;10.65;-3294.399263;8723001;110.44
1-00473-7503;425 BROOME STREET;SOHO;R4-CONDOMINIUM;18;1874;1501.277778;27.65;10.29;-13404.16163;3004090;111.17
1-00474-7501;51 MERCER STREET;SOHO;R2-CONDOMINIUM;1;1941;1158;43.46;8.77;-17471.06265;303000;261.66
1-00474-7504;473 BROADWAY;SOHO;R4-CONDOMINIUM;13;1894;2727.076923;26.68;9.25;-7458.392879;4467999;126.03
1-00474-7505;475 BROADWAY;SOHO;R4-CONDOMINIUM;14;1920;2600.5;26.68;9.25;-7863.000061;4588002;126.02
1-00474-7506;40 MERCER STREET;SOHO;R4-CONDOMINIUM;41;2005;2861.243902;41.2;12.82;-7184.236269;24750019;210.98
1-00475-7503;477 BROOME STREET;SOHO;R9-CONDOMINIUM;20;1920;1607.45;26.9;9.49;-12855.1263;4045000;125.82
1-00475-7505;42 WOOSTER STREET;SOHO;R4-CONDOMINIUM;14;1900;3943.571429;26.9;11;-5267.330313;6344002;114.91
1-00475-7509;43 WOOSTER STREET;SOHO;R4-CONDOMINIUM;10;1900;2250;31.97;10.15;-9280.09506;3671000;163.16
1-00478-7501;354 BROOME STREET;LITTLE ITALY;R4-CONDOMINIUM;37;1900;1532.810811;26.68;10.7;-13692.71034;6552998;115.54
1-00481-7502;225 LAFAYETTE STREET;LITTLE ITALY;R4-CONDOMINIUM;41;1926;2046.731707;36.38;12.19;-10307.38661;14962999;178.31
1-00482-7502;210 LAFAYETTE STREET;SOHO;R4-CONDOMINIUM;52;2005;1404.942308;41.04;13;-15092.84433;15471003;211.77
1-00483-7502;56 CROSBY STREET;SOHO;R4-CONDOMINIUM;9;1900;3966.666667;34.97;11.91;-5372.948599;6101000;170.9
1-00485-7501;73 MERCER STREET;SOHO;R4-CONDOMINIUM;10;1900;2052.5;26.9;9.49;-10436.45148;2588000;126.09
1-00487-7501;73 WOOSTER STREET;SOHO;R4-CONDOMINIUM;6;1929;7015.166667;26.88;11;-3068.913148;4839999;114.99
1-00488-7501;52 THOMPSON STREET;SOHO;R4-CONDOMINIUM;2;1900;4598;35.38;11.91;-4705.754193;1599000;173.88
1-00488-7502;388 WEST BROADWAY;SOHO;R4-CONDOMINIUM;4;1920;3126.5;35.38;9.07;-6955.118611;2243996;179.43
1-00491-7503;246 SPRING STREET;SOHO;R4-CONDOMINIUM;391;2007;878.769821;46.27;7.5;-24868.05802;108989818;317.2
1-00492-7501;14 PRINCE STREET;LITTLE ITALY;R4-CONDOMINIUM;44;1915;888.3409091;30.83;11.53;-24721.83733;5637002;144.22
1-00492-7502;2 PRINCE STREET;LITTLE ITALY;R4-CONDOMINIUM;10;1900;1156.3;30.83;9.26;-19086.34438;1864000;161.2
1-00492-7503;200 BOWERY;LITTLE ITALY;R4-CONDOMINIUM;35;1988;702.3428571;33.19;9.43;-31576.68699;3905011;158.86
1-00493-7501;211 ELIZABETH STREET;LITTLE ITALY;R4-CONDOMINIUM;15;2007;1883.866667;40.4;13.6;-11829.80808;5722001;202.49
1-00494-7502;45 SPRING STREET;LITTLE ITALY;R9-CONDOMINIUM;25;1900;485.68;26.68;9.25;-46108.34639;1530000;126.01
1-00497-7501;83 SPRING STREET;SOHO;R4-CONDOMINIUM;2;1900;1759;28.51;12.63;-12792.50837;420000;119.39
1-00498-7501;90 PRINCE STREET;SOHO;R4-CONDOMINIUM;14;1900;1287.928571;28.52;9.48;-17555.43226;2578997;143.03
1-00499-7501;127 MERCER STREET;SOHO;R4-CONDOMINIUM;10;1881;1982.7;26.9;9.49;-11458.2455;2497999;125.99
1-00499-7502;114 GREENE STREET;SOHO;R4-CONDOMINIUM;19;1988;1835.578947;26.88;12.04;-12435.52283;3740001;107.24
1-00499-7505;92 GREENE STREET;SOHO;R4-CONDOMINIUM;14;2005;3058.785714;41.2;8.96;-7497.911459;9944006;232.21
1-00500-7501;116 WOOSTER STREET;SOHO;R4-CONDOMINIUM;15;1907;1383.466667;26.88;12.04;-16655.71391;2225002;107.22
1-00500-7502;93 GREENE STREET;SOHO;R4-CONDOMINIUM;29;1900;1249.068966;26.88;12.04;-18534.40138;3884994;107.25
1-00500-7505;103 GREENE STREET;SOHO;R4-CONDOMINIUM;12;1879;2914;35.38;9.07;-7981.766001;6802000;194.52
1-00500-7506;107 GREENE STREET;SOHO;R4-CONDOMINIUM;5;1879;6273.8;35.38;9.07;-3724.534841;6102000;194.52
1-00501-7501;105 WOOSTER STREET;SOHO;R4-CONDOMINIUM;15;1920;2131.133333;29.55;11.12;-11015.31606;4416999;138.17
1-00502-7501;426 WEST BROADWAY;SOHO;R4-CONDOMINIUM;35;1900;994.8857143;26.9;10.2;-23704.45917;4202001;120.67
1-00507-7501;11 PRINCE STREET;LITTLE ITALY;R4-CONDOMINIUM;22;1900;1023.227273;27.17;11;-23153.55442;2627001;116.7
1-00508-7501;259 ELIZABETH STREET;LITTLE ITALY;R4-CONDOMINIUM;26;1987;658.3461538;30.13;9;-36150.38802;2708002;158.21
1-00508-7502;262 MOTT STREET;LITTLE ITALY;R4-CONDOMINIUM;5;1955;1327;24.47;10.3;-18016.26938;685000;103.24
1-00510-7501;285 LAFAYETTE STREET;LITTLE ITALY;R4-CONDOMINIUM;29;1900;3377.275862;32.49;11.91;-7110.970795;14282965;145.83
1-00512-7501;583 BROADWAY;SOHO;R4-CONDOMINIUM;21;1900;5132.428571;29.52;10.67;-4700.27595;14499635;134.53
1-00512-7503;597 BROADWAY;SOHO;R4-CONDOMINIUM;9;1900;1699.444444;28.15;11;-14258.74863;1893001;123.77
1-00513-7503;19 WEST HOUSTON STREET;SOHO;R4-CONDOMINIUM;32;2003;1775;45.63;17.02;-13712.71645;12223001;215.19
1-00514-7505;160 WOOSTER STREET;SOHO;R4-CONDOMINIUM;15;2003;2754.266667;35.38;11;-8876.479733;7447000;180.25
1-00515-7501;139 WOOSTER STREET;SOHO;R4-CONDOMINIUM;16;2006;2411.9375;41.2;12;-10181.15635;8510003;220.52
1-00515-7502;149 WOOSTER STREET;SOHO;R4-CONDOMINIUM;11;1915;3400.272727;29.55;9.17;-7253.663262;5715003;152.8
1-00517-7501;131 THOMPSON STREET;SOHO;R9-CONDOMINIUM;38;1950;548.0526316;26.5;7.99;-45201.04911;2788000;133.87
1-00518-7502;199 PRINCE STREET;SOHO;R2-CONDOMINIUM;27;1900;482.2222222;30.43;10.25;-51595.86873;1964998;150.92
1-00518-7504;195 PRINCE STREET;SOHO;R2-CONDOMINIUM;15;1920;400.8666667;25.81;10.64;-62336.92423;660997;109.93
1-00520-7501;27 KING STREET;SOHO;R4-CONDOMINIUM;38;1900;878.5;29.38;11.12;-28567.91757;4092003;122.58
1-00521-7501;306 MOTT STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;18;1988;528.5555556;38.05;12.39;-47686.63554;1693997;178.05
1-00521-7502;298 ELIZABETH STREET;GREENWICH VILLAGE-CENTRAL;R2-CONDOMINIUM;4;1926;1547;26.3;9.14;-16362.73866;770001;124.43
1-00521-7503;304 BOWERY;GREENWICH VILLAGE-CENTRAL;R2-CONDOMINIUM;1;1910;7157;24.88;11;-3551.945963;722999;101.02
1-00522-7501;54 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;11;1910;2821.727273;27.17;10.5;-9047.436319;3734001;120.3
1-00525-7501;156 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;190;1910;694.7368421;26.5;11;-36902.48856;14798000;112.11
1-00525-7502;496 LA GUARDIA PLACE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;11;1910;606.3636364;25.87;10;-42459.07469;766999;114.99
1-00525-7503;177 THOMPSON STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;54;1958;438.6666667;25.87;10;-58937.14167;2723000;114.95
1-00525-7506;184 THOMPSON STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;144;1910;591.9027778;30.92;11;-43861.73036;12685002;148.83
1-00528-7501;63 DOWNING STREET;GREENWICH VILLAGE-WEST;R4-CONDOMINIUM;32;1986;1100.78125;31.64;10.7;-23683.1801;5502998;156.22
1-00528-7502;3 BEDFORD STREET;GREENWICH VILLAGE-WEST;R4-CONDOMINIUM;12;1986;1332.5;31.64;10.7;-19645.86953;2452998;153.41
1-00529-7502;7 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;20;1904;1231.5;30.13;11.12;-21344.89785;3505997;142.35
1-00529-7503;17 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1900;1460.8;29.33;11.2;-18068.42981;1892002;129.52
1-00529-7504;1 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;21;1900;1999.52381;27.17;10.5;-13254.39722;5051001;120.29
1-00529-7507;57 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;2002;2491;36.79;11.36;-10682.69907;4675001;187.68
1-00530-7502;27 GREAT JONES STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1900;1857.2;25.88;10.7;-14386.56253;2044001;110.06
1-00530-7503;47 GREAT JONES STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;1;1910;2527;21.86;8.77;-10616.08409;243000;96.16
1-00530-7505;40 BOND STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;26;2006;3269.230769;40.72;12.82;-8238.930485;17914001;210.75
1-00531-7501;692 BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;56;1912;1651.785714;36.79;12.7;-16372.03021;16410007;177.41
1-00535-7501;14 WEST 4 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;273;1908;1064.07326;31.74;11.19;-25516.29402;44526000;153.28
1-00537-7502;5420 WEST BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1928;1806.4;27.57;10.8;-15090.41559;2123004;117.53
1-00540-7501;173 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;18;1900;874.6666667;27.21;11.51;-31289.00222;1783000;113.25
1-00542-7501;205 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;24;1928;743.4166667;27.21;11.51;-36958.50397;2021000;113.27
1-00542-7502;189 BLEECKER STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;40;1900;569.425;28.91;11.5;-48441.30199;2871000;126.05
1-00544-7501;56 COOPER SQUARE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;25;1920;3534.12;37.35;11.93;-7835.559897;16517000;186.94
1-00544-7502;443 LAFAYETTE STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;39;2004;2988.076923;42.43;13;-9303.619088;25876000;222.04
1-00545-7502;704 BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;10;1895;4602.2;26.03;9.52;-6064.067197;5508001;119.68
1-00545-7503;21 ASTOR PLACE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;50;1930;1931.32;30.2;11.5;-14506.22922;12319993;127.58
1-00548-7501;60 EAST 8 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;390;1965;1141.412821;34.12;11.71;-24639.89422;73939000;166.1
1-00552-7501;360 6 AVENUE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;28;1986;1539.5;27.57;10.8;-18338.68901;5209999;120.86
1-00552-7504;88 WEST WASHINGTON PLACE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;28;1966;1147;32;9.53;-24708.3978;5380001;167.52
1-00556-7501;10430 EAST 12 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;11;1905;2580.454545;28.76;10.93;-11024.6673;3800999;133.91
1-00557-7501;806 BROADWAY;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;65;1900;1278.292308;25.95;9.3;-22339.78349;10019000;120.58
1-00558-7501;114 EAST 13 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;41;1985;1377.634146;29.48;10.6;-20807.3341;7995999;141.56
1-00558-7502;115 4 AVENUE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;70;1905;1286.885714;29.2;11.12;-22358.64008;12219999;135.65
1-00558-7503;125 EAST 12 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;44;1988;1296.409091;30;11.53;-22277.7943;7502011;131.52
1-00559-7501;108 3 AVENUE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;84;2006;1196.428571;44.13;14;-24229.8256;22801995;226.89
1-00560-7501;21 UNIVERSITY PLACE;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;145;1955;938.6068966;26.97;10.78;-31000.59917;15908000;116.89
1-00560-7502;40 EAST 9 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;150;1959;1068.06;28.66;11.12;-27344.43452;21010000;131.14
1-00560-7503;60 EAST 9 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;213;1954;659.0140845;26.97;10.78;-44481.0179;16408000;116.89
1-00561-7501;63 EAST 9 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;229;1955;916.0917031;26.97;10.77;-32116.58587;24536000;116.96
1-00561-7502;28 EAST 10 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;102;1928;1334.745098;28.66;11.12;-22123.96842;17280554;126.93
1-00563-7501;44 EAST 12 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;44;1985;989.5909091;30.2;10.27;-29949.7284;6498003;149.24
1-00564-7501;835 BROADWAY;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;7;1910;2641.857143;26.97;10.77;-11259.54126;2163001;116.96
1-00567-7501;23 5 AVENUE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;89;1921;919.9438202;37.92;12.82;-32452.2209;15556006;190
1-00567-7501;23 5 AVENUE;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;1;1921;3475;37.92;12.82;-8622.256296;660000;189.93
1-00569-7501;10 EAST 12 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;27;1907;2471.814815;26.97;10.77;-12165.33739;7805999;116.96
1-00569-7502;8 EAST 12 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;12;1908;2341.416667;26.97;10.77;-12889.02662;3286004;116.95
1-00569-7503;16 EAST 12 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;37;1910;1418.72973;28.77;11.12;-21347.76036;6957998;132.55
1-00569-7504;13 EAST 11 STREET;GREENWICH VILLAGE-CENTRAL;R4-CONDOMINIUM;115;1903;529.2173913;29.57;11.15;-57433.52988;8404981;138.1
1-00571-7501;7 EAST 13 STREET;GREENWICH VILLAGE-CENTRAL;R9-CONDOMINIUM;39;1928;1086.769231;28.48;11.12;-28067.54419;5192000;122.5
